Results from query to NASA/IPAC Extragalactic Database (NED),,,,,,,,,,,,,,,,
which is funded by the National Aeronautics and Space Administration.,,,,,,,,,,,,,,,,
and operated by the California Institute of Technology.,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
queryDateTime:2024-06-24T19:36:45PDT,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Main Information Table for All Sky,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Equinox:J2000.0,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
CoordSystem:Equatorial,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
No.,Object Name,RA,DEC,Type,Velocity,Redshift,Redshift Flag,Magnitude and Filter,Separation,References,Notes,Photometry Points,Positions,Redshift Points,Diameter Points,Associations
170,NGC 1415,55.23692,-22.56447,G,1552,0.005177,UUN,12.77,0,152,9,88,30,17,19,0
171,NGC 1433,55.50646,-47.22208,G,1076,0.003589,UUN,10.7,0,324,15,103,33,20,17,0
172,NGC 1425,55.54779,-29.89333,G,1512,0.005043,S1L,11.87,0,207,5,79,25,23,19,0
173,NGC 1427,55.58093,-35.39256,G,1388,0.00463,SUN,11.8B,0,260,9,101,26,21,17,1
174,NGC 1421,55.622,-13.48803,G,2090,0.006971,SUN,11.95,0,216,8,105,22,18,6,0
175,NGC 1426,55.70463,-22.10836,G,1443,0.004813,SUN,13.11,0,203,5,96,29,20,18,0
176,NGC 1436,55.9045,-35.85303,G,1387,0.004627,SUN,12.41,0,154,7,69,28,21,18,0
177,NGC 1448,56.133,-44.64483,G,1168,0.003896,UUN,11.4,0,361,6,95,26,24,19,0
178,NGC 1439,56.20813,-21.92056,G,1667,0.005561,SUN,13.02,0,197,6,91,29,20,18,0
179,NGC 1440,56.26212,-18.26603,G,1597,0.005327,SUN,12.56,0,88,9,54,14,8,19,0
180,IC 0334,56.32117,76.63831,G,2536,0.008459,SUN,12.45,0,36,1,39,11,8,8,0
181,NGC 1452,56.34296,-18.63364,G,1737,0.005794,SUN,12.76,0,98,11,58,16,8,19,0
182,ESO 358- G 063,56.57921,-34.94356,G,1929,0.006434,SUN,12.83,0,133,2,90,31,27,19,0
183,NGC 1453,56.61354,-3.96878,G,3886,0.012962,SUN,12.77,0,197,9,93,28,22,6,0
184,IC 0342,56.70209,68.09637,G,31,0.000103,SUN,9.1,0,962,21,177,70,29,12,0
185,IC 1993,56.77004,-33.70986,G,1080,0.003602,SUN,12.63,0,92,2,53,19,15,19,0
186,UGC 02855,57.08637,70.13289,G,1200,0.004003,SUN,13.5,0,149,5,76,27,19,7,1
187,IC 2000,57.28225,-48.85819,G,980,0.003269,UUN,12.89,0,75,1,70,22,18,17,0
188,IC 2051,58.00346,-83.83069,G,1753,0.005847,S1L,12.32,0,77,2,54,17,14,16,0
189,IC 2006,58.61854,-35.96714,G,1382,0.00461,SUN,12.2B,0,184,6,63,20,17,19,0
190,NGC 1493,59.36429,-46.2107,G,1053,0.003512,UUN,11.78,0,150,9,78,27,14,17,0
191,NGC 1511,59.90408,-67.63425,G,1341,0.004474,S1L,11.88,0,156,6,103,28,19,20,0
192,WISEA J040106.63-160639.0,60.27765,-16.11084,G,9499,0.031685,SLS,16.12,0,40,0,46,24,12,2,0
193,NGC 1512,60.97617,-43.34886,G,898,0.002995,UUN,11.13,0,356,14,181,51,23,19,0
194,NGC 1515,61.01133,-54.10006,G,1175,0.00392,S1L,12.05,0,135,4,77,21,17,17,0
195,NGC 1507,61.11336,-2.18858,G,863,0.002879,SUN,12.89,0,158,8,76,26,26,8,0
196,NGC 1518,61.70717,-21.17264,G,918,0.003062,S1L,12.28,0,122,5,64,26,18,18,0
197,IC 0356,61.94546,69.81244,G,895,0.002985,S1L,11.39,0,152,8,59,22,10,7,1
198,NGC 1521,62.07887,-21.05197,G,4243,0.014153,UUN,13.1,0,123,5,82,24,19,19,0
199,NGC 1527,62.10058,-47.89703,G,1212,0.004043,UUN,11.74,0,104,5,68,12,10,17,0
200,NGC 1533,62.466,-56.11844,G,790,0.002635,S1L,11.7,0,195,12,111,27,18,17,0
201,NGC 1532,63.01804,-32.87422,G,1040,0.003468,S1L,10.65,0,178,7,76,21,23,19,0
202,NGC 1543,63.18021,-57.73797,G,1176,0.003922,S1L,11.46,0,135,8,106,17,12,16,0
